Number,Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year,type_num
734,Policlinica La Familia IPA 343,PR,"T & P Consulting, Inc. d/b/a Quantum Health Consulting",5994,Theft,Laptop,2014-06-03,"An unencrypted laptop computer and external hard drive containing the electronic protected health information (ePHI) of 5,994 individuals were stolen from a staff member of the covered entity's (CE) business associate (BA).  The ePHI included names, ages, sex, social security numbers, medical services provided, diagnosis codes, and dates of service.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and all affected individuals.  As a result of OCR's investigation, the CE had its BA conduct a risk analysis, implement new security policies and procedures to ensure adequate safeguards to protect ePHI, and retrain its employees.  In addition, the CE also had its BA change its security practices to include encryption on all laptops and restrict the use of portable media devices. OCR obtained assurance that the CE implemented the corrective action listed above and required one additional corrective action.  OCR identified the need for the CE to implement certain security policies, procedures and controls.



",2012-01-11,Unknown Date,2012,Theft
735,Indiana Internal Medicine Consultants,IN,None,20000,Theft,Laptop,2014-06-24,"A laptop computer that contained the electronic protected health information (ePHI) of approximately 20,000 individuals was stolen from the covered entity's (CE) laboratory manager's office.  The ePHI involved in the breach included patients' names, dates of birth, clinic identification numbers, and laboratory results.  Following the breach, the CE reported the theft to the building management company.  The management company investigated the theft and determined that cleaning personnel had stolen the laptop.  The company reported that the patient information was not compromised, as the database could not be accessed without propriety software and specialized assistance. As a result of OCR's investigation, physical security was improved by housing the replacement laptop in a locked drawer in a locked office with limited staff access.  The CE also implemented a new policy prohibiting the storage of PHI on the laptop computer and updated additional policies and procedures to enhance safeguards for systems containing PHI.      ",2012-02-11,Unknown Date,2012,Theft
736,Robley Rex VA Medical Center ,KY,None,1182,Other,Paper,2014-01-23,Unknown detailed,2012-01-09,Unknown Date,2012,Other
737,Ochsner Health System,LA,None,2088,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2012-01-19,Unknown Date,2012,Loss
738,Lakeview Medical Center,WI,None,698,Theft,Laptop,2014-01-23,Unknown detailed,2012-01-04,Unknown Date,2012,Theft
739,Ford Motor Company,MI,"WageWorks, Inc.",1700,Other,Paper,2014-03-24,Unknown detailed,2012-01-03,Unknown Date,2012,Other
740,Berea College,KY,None,1000,Other,Electronic Medical Record,2014-04-21,Unknown detailed,2012-01-24,Unknown Date,2012,Other
741,"QBE Holdings, Inc.",NY,"StayWell Health Management, LLC",1746,Unauthorized Access/Disclosure,Network Server,2014-04-21,Unknown detailed,2012-05-09,Unknown Date,2012,Unauthorized Access/Disclosure
742,Detroit Medical Center - Harper University Hospital,MI,None,1087,"Theft, Unauthorized Access/Disclosure",Paper,2014-05-06,Unknown detailed,2012-09-07,Unknown Date,2012,"Theft, Unauthorized Access/Disclosure"
743,Kansas Department on Aging,KS,None,7757,Theft,Laptop,2014-01-23,Unknown detailed,2012-01-11,Unknown Date,2012,Theft
744,Lutheran Social Services of South Central Pennsylvania,PA,None,7803,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2012-06-01,2013-03-07,2012,Hacking/IT Incident
745,El Centro Regional Medical Center,CA,Digital Archive Management,189489,Improper Disposal,Paper,2014-01-23,Unknown detailed,2012-11-07,Unknown Date,2012,Improper Disposal
746,Independence Care System,NY,None,2434,Theft,Laptop,2014-01-23,Unknown detailed,2013-05-07,Unknown Date,2013,Theft
747,Kmart Corporation,IL,Kmart Pharmacy #7623,16988,Improper Disposal,Paper,2014-02-12,Unknown detailed,2013-01-02,Unknown Date,2013,Improper Disposal
748,"GEO Care, LLC",FL,None,710,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,Unknown detailed,2013-04-16,Unknown Date,2013,Unauthorized Access/Disclosure
749,The Brookdale Hospital and Medical Center,NY,None,2700,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-05-24,Unknown Date,2013,Loss
750,"Community Support Services, Inc.",OH,None,1167,Theft,E-mail,2014-02-12,Unknown detailed,2013-03-20,2013-03-26,2013,Theft
751,American Health Inc. ,PR,None,11531,Unauthorized Access/Disclosure,Paper,2014-06-18,Unknown detailed,2013-09-20,Unknown Date,2013,Unauthorized Access/Disclosure
752,Palm Beach County Health Department,FL,None,877,Unauthorized Access/Disclosure,Desktop Computer,2014-01-23,Unknown detailed,2013-01-07,Unknown Date,2013,Unauthorized Access/Disclosure
753,Lucile Packard Children's Hospital,CA,None,12900,Theft,Laptop,2014-01-23,Unknown detailed,2013-05-08,Unknown Date,2013,Theft
754,"Center for Pain Management, LLC",MD,None,5822,Theft,Laptop,2014-01-23,Unknown detailed,2013-01-22,Unknown Date,2013,Theft
755,Multiple Health Plans,CA,"Coast Healthcare Management, LLC",1368,"Theft, Other",Paper,2014-01-23,Unknown detailed,2013-12-07,Unknown Date,2013,"Theft, Other"
756,Heyman HospiceCare at Floyd,GA,None,1819,Theft,Laptop,2014-01-23,Unknown detailed,2013-01-04,Unknown Date,2013,Theft
757,"County of San Bernardino, Department of Behavioral Health",CA,None,686,Theft,Paper,2014-01-23,Unknown detailed,2013-01-12,Unknown Date,2013,Theft
758,Maryland Developmental Disabilities Administration,MD,"Service Coordination, Inc.",10766,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server,2014-06-11,Unknown detailed,2013-11-27,Unknown Date,2013,"Unauthorized Access/Disclosure, Hacking/IT Incident"
759,Fayetteville VAMC,NC,None,1093,Improper Disposal,Paper,2014-01-23,Unknown detailed,2013-04-17,Unknown Date,2013,Improper Disposal
760,Lincoln County Health and Human Services/Lincoln Community Health Center,OR,None,959,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2013-04-17,Unknown Date,2013,Unauthorized Access/Disclosure
761,Yadkinville Chiropractic DCPA,NC,Yadkinville Chiropractic DCPA,1000,Theft,Desktop Computer,2014-02-12,Unknown detailed,2013-02-01,Unknown Date,2013,Theft
762,"Intervention Services, Inc.",FL,None,1200,Theft,Laptop,2014-01-23,Unknown detailed,2013-01-19,Unknown Date,2013,Theft
763,Union Security Insurance Company,MO,None,1127,Improper Disposal,E-mail,2014-01-23,Unknown detailed,2013-05-17,Unknown Date,2013,Improper Disposal
764,Bay Park Hospital,OH,None,594,Unauthorized Access/Disclosure,"Network Server, Electronic Medical Record",2014-06-18,Unknown detailed,2013-04-01,Unknown Date,2013,Unauthorized Access/Disclosure
765,Triple-S Salud ,PR,None,56853,Unauthorized Access/Disclosure,Paper,2014-06-18,Unknown detailed,2013-09-20,Unknown Date,2013,Unauthorized Access/Disclosure
766,"Gulf Breeze Family Eyecare, Inc",FL,None,9626,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server, E-mail, Electronic Medical Record, Paper",2014-01-23,Unknown detailed,2013-03-08,2013-05-09,2013,"Theft, Unauthorized Access/Disclosure"
767,Jacksonville Spine Center,FL,None,5200,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2013-04-25,Unknown Date,2013,Unauthorized Access/Disclosure
768,Iowa Department of Human Services,IA,None,7335,"Loss, Unknown",Other,2014-01-23,Unknown detailed,2013-04-30,Unknown Date,2013,"Loss, Unknown"
769,Mark A. Gillispie,CA,None,5845,Theft,Desktop Computer,2014-06-27,Unknown detailed,2013-11-20,Unknown Date,2013,Theft
770,Penn State Milton S Hershey Medical Center,PA,None,1801,Other,"E-mail, Other Portable Electronic Device",2014-06-27,Unknown detailed,2013-09-13,Unknown Date,2013,Other
771,James A. Fosnaugh,NE,None,2125,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-05-01,2013-05-03,2013,Loss
772,Lone Star Circle of Care,TX,None,1955,Theft,Laptop,2014-01-23,Unknown detailed,2013-05-01,2013-05-02,2013,Theft
773,Puerto Rico Health Insurance ,PR,American Health Inc,28413,Theft,Other,2014-06-27,Unknown detailed,2013-09-20,Unknown Date,2013,Theft
774,Aflac,GA,Alberto Gerardo Vazquez Rivera,679,Theft,Laptop,2014-01-23,Unknown detailed,2013-05-09,Unknown Date,2013,Theft
775,Flowers Hospital,AL,None,629,Theft,Paper,2014-06-20,Unknown detailed,2013-06-03,Unknown Date,2013,Theft
776,Indiana Family & Social Services Administration,IN,RCR Technology Corporation,187533,Other,Paper,2014-01-23,Unknown detailed,2013-04-06,2013-05-21,2013,Other
777,Northrop Grumman Retiree Health Plan,VA,CVS Caremark,4305,Theft,Paper,2014-06-24,"Business associate (BA) employees erroneously sent 4,305 health plan members' protected health information (PHI) to other plan members.  The PHI involved in the breach included names and prescribed medication(s).  The covered entity, Northrop Grumman Retiree Health Plan, provided breach notification to HHS, and the BA, CVS Caremark, provided breach notification to affected individuals and the media.  Following the breach, the BA revised its quality control policies for targeted mailings and retrained employees involved in the breach to prevent similar incidents in the future.  OCR obtained assurances that the BA implemented the breach notification and policy revisions listed above.",2013-05-20,Unknown Date,2013,Theft
778,"Dent Neurologic Group, LLP",NY,None,10000,Other,E-mail,2014-01-23,Unknown detailed,2013-05-13,Unknown Date,2013,Other
779,City of Norwood,OH,None,9577,Loss,Laptop,2014-01-23,Unknown detailed,2013-04-14,2013-04-19,2013,Loss
780,Comfort Dental Marion and Kokomo,IN,Just the Connection Inc,5388,Improper Disposal,Other,2014-01-23,Unknown detailed,2013-03-14,2013-03-18,2013,Improper Disposal
781,Erskine Family Dentistry,IN,None,2723,Hacking/IT Incident,Desktop Computer,2014-02-12,Unknown detailed,2013-03-19,Unknown Date,2013,Hacking/IT Incident
782,Health Resources of Arkansas,AR,None,1900,"Theft, Unauthorized Access/Disclosure",Other,2014-01-23,Unknown detailed,2013-04-14,Unknown Date,2013,"Theft, Unauthorized Access/Disclosure"
783,Various Health Plans,AL,SynerMed / Inland Valleys IPA,3164,Theft,Laptop,2014-01-23,Unknown detailed,2013-04-14,2013-04-15,2013,Theft
784,"NHC HealthCare, Mauldin",SC,None,4204,Improper Disposal,Other,2014-03-13,Unknown detailed,2013-05-15,Unknown Date,2013,Improper Disposal
785,Sonoma Valley Hospital,CA,None,1386,Other,Other,2014-01-23,Unknown detailed,2013-02-14,Unknown Date,2013,Other
786,"Health Net, Inc.",CA,None,8331,Other,Paper,2014-01-23,Unknown detailed,2013-04-01,2013-05-31,2013,Other
787,"South Florida Neurology Associates, P.A.",FL,None,900,Theft,Laptop,2014-01-23,Unknown detailed,2013-05-25,2013-05-30,2013,Theft
788,Samaritan Regional Health System,OH,None,2203,Other,Paper,2014-01-23,Unknown detailed,2013-05-29,Unknown Date,2013,Other
789,MED-EL Coproration,NC,None,609,Other,E-mail,2014-01-23,Unknown detailed,2013-06-25,Unknown Date,2013,Other
790,Illinois Department of Healthcare and Familiy Services,IL,Family Health Network,3133,Other,Paper,2014-01-23,Unknown detailed,2013-05-08,Unknown Date,2013,Other
791,Delta Dental of Pennsylvania,PA,ZDI,4718,Loss,Paper,2014-01-23,Unknown detailed,2013-05-13,Unknown Date,2013,Loss
792,"Medtronic, Inc.",MN,None,2764,Loss,Paper,2014-01-23,Unknown detailed,2013-03-28,2013-03-29,2013,Loss
793,Texas Health Harris Methodist Hospital Fort Worth,TX,Shred-it International Inc.,277014,Improper Disposal,Other,2014-01-23,Unknown detailed,2013-05-11,Unknown Date,2013,Improper Disposal
794,"Vitreo-Retinal Medical Group, Inc. ",CA,None,1837,Theft,Laptop,2014-01-23,Unknown detailed,2013-06-05,Unknown Date,2013,Theft
795,Arkansas Department of Human Services,AR,Health Resources of Arkansas,1911,Theft,Laptop,2014-02-12,Unknown detailed,2013-04-14,Unknown Date,2013,Theft
796,Baylor All Saints Medical Center at Fort Worth,TX,None,940,Unauthorized Access/Disclosure,Other Portable Electronic Device,2014-02-12,Unknown detailed,2013-05-07,2013-06-06,2013,Unauthorized Access/Disclosure
797,"Cogent Healthcare, Inc.",TN,M2ComSys Inc.,32151,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2013-05-05,2013-06-24,2013,Unauthorized Access/Disclosure
798,Young Family Medicine Inc.,OH,None,2045,Theft,Laptop,2014-01-23,Unknown detailed,2013-06-12,Unknown Date,2013,Theft
799,Colfax,IN,Anthem BCBS of GA,5497,Other,Other,2014-02-12,Unknown detailed,2013-04-11,Unknown Date,2013,Other
800,Foundations Recovery Network,TN,None,5690,Theft,Laptop,2014-01-23,Unknown detailed,2013-06-15,Unknown Date,2013,Theft
801,California Correctional Health Care Services,CA,None,1033,Other,Paper,2014-01-23,Unknown detailed,2013-06-19,Unknown Date,2013,Other
802,North Texas Comprehensive Spine & Pain Center,TX,None,3200,"Theft, Loss",Other Portable Electronic Device,2014-02-12,Unknown detailed,2013-06-16,Unknown Date,2013,"Theft, Loss"
803,Jackson Health System,FL,None,1471,Other,Paper,2014-01-23,Unknown detailed,2013-01-08,2013-01-10,2013,Other
804,Seattle - King County Department of Public Health,WA,None,750,Improper Disposal,Paper,2014-01-23,Unknown detailed,2013-03-07,Unknown Date,2013,Improper Disposal
805,Regional Medical Center,TN,None,1180,Unauthorized Access/Disclosure,E-mail,2014-01-23,Unknown detailed,2013-02-04,Unknown Date,2013,Unauthorized Access/Disclosure
806,Presbyterian Anesthesia Associates PA,NC,"E-dreamz, Inc.",9988,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2013-04-01,Unknown Date,2013,Hacking/IT Incident
807,"Integrity Oncology, an office of Baptist Medical Group",TN,"North Atlantic Telecom, Inc.",539,Other,Desktop Computer,2014-01-23,Unknown detailed,2013-03-05,Unknown Date,2013,Other
808,"Piedmont HealthCare, P.A.",NC,"E-dreamz, Inc.",1924,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2013-03-28,Unknown Date,2013,Hacking/IT Incident
809,Indiana University Health Arnett,IN,None,10350,Theft,Laptop,2014-01-23,Unknown detailed,2013-04-09,Unknown Date,2013,Theft
810,"Summit Community Care Clinic, Inc.",CO,None,921,Hacking/IT Incident,Desktop Computer,2014-01-23,Unknown detailed,2013-07-22,Unknown Date,2013,Hacking/IT Incident
811,UT Physicians,TX,None,596,"Theft, Loss",Laptop,2014-01-23,Unknown detailed,2013-07-22,2013-08-02,2013,"Theft, Loss"
812,Parkview Community Hospital Medical Center,CA,"Cogent Healthcare, Inc.",32000,Other,Network Server,2014-01-23,Unknown detailed,2013-05-05,2013-06-24,2013,Other
813,Atlanta Center for Reproductive Medicine,GA,None,654,Other,E-mail,2014-01-23,Unknown detailed,2013-07-12,Unknown Date,2013,Other
814,St. Anthony's Physician Organization,MO,None,2600,Theft,"Laptop, Other Portable Electronic Device",2014-01-23,Unknown detailed,2013-07-29,Unknown Date,2013,Theft
815,Janna Benkelman LPC LLC,CO,None,1500,Theft,Laptop,2014-01-23,Unknown detailed,2013-08-01,Unknown Date,2013,Theft
816,Olson & White Orthodontics,MO,None,10000,Theft,"Desktop Computer, Network Server",2014-01-23,Unknown detailed,2013-07-22,Unknown Date,2013,Theft
817,Kaiser Foundation Health Plan of the Northwest,OR,None,647,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,Unknown detailed,2013-03-15,Unknown Date,2013,Unauthorized Access/Disclosure
818,"Hankyu Chung, M.D.",CA,None,2182,Theft,Laptop,2014-01-23,Unknown detailed,2013-06-17,Unknown Date,2013,Theft
819,"ICS Collection Service, Inc. on behalf of University of Chicago Physicians Group",IL,"ICS Collection Service, Inc.",1290,Hacking/IT Incident,Other,2014-01-23,Unknown detailed,2013-07-09,Unknown Date,2013,Hacking/IT Incident
820,ACO of Puerto Rico,PR,PHMHS,5000,Theft,Network Server,2014-06-20,"Upon request, a subcontractor (PHM Software Solutions) of the covered entity's (CE) business associate (BA), PHM Healthcare Solutions, modified a software application the CE was utilizing  which led to the disclosure of electronic protected health information (ePHI) of 5,000 individuals on the Internet.  The ePHI included names, gender, member identification numbers, dates of birth, and consent forms.  The CE provided breach notification to HHS, the media, and affected individuals and posted substitute notice on its website.  Upon discovery of the breach, the BA removed the software application and placed it offline.  As a result of OCR's investigation, the CE had its BA to conduct a risk analysis and create a risk management plan to address any vulnerabilities identified in the risk analysis.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR provided technical assistance to assist the CE understand its obligations under the Privacy and Security Rules regarding BA agreements.  ",2013-03-05,2013-07-16,2013,Theft
821,"NHC HealthCare, Oak Ridge",TN,None,4268,Loss,Other,2014-03-13,Unknown detailed,2013-05-10,Unknown Date,2013,Loss
822,Hansen & Associates,WY,None,2700,Theft,Desktop Computer,2014-06-10,Unknown detailed,2013-05-21,2013-05-29,2013,Theft
823,Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group ,IL,Blackhawk Consulting Group,2029,Hacking/IT Incident,Network Server,2014-02-12,Unknown detailed,2013-06-30,2013-08-15,2013,Hacking/IT Incident
824,Dreyer Medical Clinic,IL,Blackhawk Consulting Group,998,Hacking/IT Incident,Network Server,2014-01-23,Unknown detailed,2013-06-30,2013-08-15,2013,Hacking/IT Incident
825,"Rocky Mountain Spine Clinic, P.C.",CO,None,532,"Theft, Unauthorized Access/Disclosure",Network Server,2014-01-23,Unknown detailed,2013-06-11,Unknown Date,2013,"Theft, Unauthorized Access/Disclosure"
826,Mount Sinai Medical Center,NY,None,610,Loss,Other Portable Electronic Device,2014-02-12,Unknown detailed,2013-08-01,Unknown Date,2013,Loss
827,Dermatology Associates of Tallahassee,FL,None,916,Unknown,Other,2014-01-23,Unknown detailed,2013-09-04,Unknown Date,2013,Unknown
828,Sierra View District Hospital,CA,None,1009,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,Unknown detailed,2013-07-01,2013-08-02,2013,Unauthorized Access/Disclosure
829,"Holy Cross Hospital, Inc.",FL,None,9900,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server",2014-01-23,Unknown detailed,2013-08-14,Unknown Date,2013,"Theft, Unauthorized Access/Disclosure"
830,Region Ten Community Services Board,VA,None,10228,Hacking/IT Incident,E-mail,2014-01-23,Unknown detailed,2013-07-29,Unknown Date,2013,Hacking/IT Incident
831,Comprehensive Podiatry LLC,OH,None,1360,Theft,Laptop,2014-01-23,Unknown detailed,2013-08-03,Unknown Date,2013,Theft
832,Santa Clara Valley Medical Center,CA,None,579,Theft,Laptop,2014-01-23,Unknown detailed,2013-09-14,2013-09-15,2013,Theft
833,"Sarah Benjamin, DPM - Littleton Podiatry ",CO,Not Applicable ,3512,Theft,Laptop,2014-01-23,Unknown detailed,2013-08-27,Unknown Date,2013,Theft
834,"Carol L. Patrick, Ph.D.",OH,None,517,Theft,Network Server,2014-01-23,Unknown detailed,2013-08-08,2013-08-09,2013,Theft
835,HOPE Family Health,TN,None,6932,Theft,Laptop,2014-01-23,Unknown detailed,2013-08-04,Unknown Date,2013,Theft
836,"Paul G. Klein, DPM",NJ,None,2500,Theft,Laptop,2014-06-20,"

OCR opened an investigation of the covered entity (CE), Paul G. Klein DPM, after it reported an encrypted and password protected laptop was stolen that contained the electronic protected health information (ePHI) of 2,500 individuals.  The ePHI included names, addresses, dates of birth, social security numbers, diagnosis conditions, lab test results, medications, medical notes, and treatment plans.  Upon discovery of the breach, the CE filed a police report to recover the stolen item.  As a result of OCR's investigation, the CE provided confirmation that there was encryption software and multi-layered password protection software installed on the stolen laptop.  OCR determined that the impermissible disclosure of ePHI did not constitute a breach under the Privacy Rule's breach notification rule and provided technical assistance to the CE regarding the requirements of the breach notification rule.



",2013-10-01,Unknown Date,2013,Theft
837,UnityPoint Health Affiliated Covered Entity (\UnityPoint\),IA,None,1825,Unauthorized Access/Disclosure,Electronic Medical Record,2014-01-23,Unknown detailed,2013-02-01,2013-08-27,2013,Unauthorized Access/Disclosure
838,TSYS Employee Health Plan,GA,"Paragon Benefits, Inc.",5232,Theft,E-mail,2014-01-23,Unknown detailed,2013-09-05,Unknown Date,2013,Theft
839,"University of California, San Francisco",CA,None,3553,Theft,"Laptop, Paper",2014-01-23,Unknown detailed,2013-09-09,Unknown Date,2013,Theft
840,"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",PA,None,2350,"Theft, Unauthorized Access/Disclosure",Paper,2014-01-23,Unknown detailed,2013-03-18,2013-05-13,2013,"Theft, Unauthorized Access/Disclosure"
841,"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",IL,None,4029530,Theft,Desktop Computer,2014-01-23,Unknown detailed,2013-07-15,Unknown Date,2013,Theft
842,Comprehensive Psychological Services LLC,SC,None,3500,Theft,Laptop,2014-01-23,Unknown detailed,2013-10-28,Unknown Date,2013,Theft
843,"Superior HealthPlan, Inc.",TX,None,6284,Other,Paper,2014-01-23,Unknown detailed,2013-10-04,Unknown Date,2013,Other
844,Genesis Rehabilitation Services,PA,None,1167,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-08-30,Unknown Date,2013,Loss
845,"Colorado Health & Wellness, Inc.",CO,None,651,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record,2014-01-23,Unknown detailed,2013-09-04,Unknown Date,2013,"Theft, Unauthorized Access/Disclosure"
846,Group Health Cooperative,WA,None,1015,Other,Paper,2014-01-23,Unknown detailed,2013-09-16,Unknown Date,2013,Other
847,Schuylkill Health System,PA,None,2810,Theft,Laptop,2014-01-23,Unknown detailed,2013-08-07,Unknown Date,2013,Theft
848,CaroMont Medical Group,NC,None,1310,Other,E-mail,2014-01-23,Unknown detailed,2013-08-05,Unknown Date,2013,Other
849,Mount SInai Medical Center,NY,None,1586,Improper Disposal,Paper,2014-01-23,Unknown detailed,2013-08-06,Unknown Date,2013,Improper Disposal
850,Memorial Hospital of Lafayette County,WI,Healthcare Management System ,4330,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2013-08-03,Unknown Date,2013,Unauthorized Access/Disclosure
851,Saint Louis University,MO,None,3100,Unauthorized Access/Disclosure,E-mail,2014-01-23,Unknown detailed,2013-07-25,Unknown Date,2013,Unauthorized Access/Disclosure
852,MUSC Physicians & MUHA,SC,BlackHawk,7120,Hacking/IT Incident,Network Server,2014-02-12,Unknown detailed,2013-06-30,Unknown Date,2013,Hacking/IT Incident
853,"Access Counseling, LLC",IN,None,566,Theft,Laptop,2014-01-23,Unknown detailed,2013-08-23,Unknown Date,2013,Theft
854,Rose Medical Center,CO,None,606,Improper Disposal,Paper,2014-01-23,Unknown detailed,2013-06-28,2013-07-16,2013,Improper Disposal
855,BriovaRx,IL,None,1067,Unauthorized Access/Disclosure,E-mail,2014-01-23,Unknown detailed,2013-07-03,2013-07-11,2013,Unauthorized Access/Disclosure
856,"North Country Hospital and Health Center, Inc",VT,None,550,Theft,Laptop,2014-01-23,Unknown detailed,2013-09-18,Unknown Date,2013,Theft
857,"Hope Community Resources, Inc.",AK,None,1556,Unauthorized Access/Disclosure,E-mail,2014-01-23,Unknown detailed,2013-08-19,Unknown Date,2013,Unauthorized Access/Disclosure
858,"Scottsdale Dermatology, LTD",AZ,All Source Medical Management,1456,Theft,Other,2014-01-23,Unknown detailed,2013-01-01,2013-10-04,2013,Theft
859,Memorial Sloan-Kettering Cancer Center,NY,None,2279,Loss,Other Portable Electronic Device,2014-02-18,Unknown detailed,2013-08-01,Unknown Date,2013,Loss
860,Gerdau Ameristeel Health and Welfare Plan,FL,Health Fitness Corporation,3804,Theft,Laptop,2014-02-18,Unknown detailed,2013-09-27,Unknown Date,2013,Theft
861,Gerdau Macsteel Health and Welfare Plan,MI,Health Fitness Corporation,4837,Theft,Laptop,2014-02-18,Unknown detailed,2013-09-27,Unknown Date,2013,Theft
862,UHS-Pruitt Corporation,GA,None,1300,Theft,Laptop,2014-01-23,Unknown detailed,2013-09-26,Unknown Date,2013,Theft
863,"United Dynacare, LLC dba Dynacare Laboratories",WI,None,9328,Theft,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-10-22,Unknown Date,2013,Theft
864,Redwood Memorial Hospital,CA,None,1039,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-11-06,Unknown Date,2013,Loss
865,Texas Health Presbyterian Dallas Hospital,TX,None,949,Theft,Desktop Computer,2014-02-12,Unknown detailed,2013-08-22,Unknown Date,2013,Theft
866,Seton Healthcare Family,TX,None,5500,Theft,Laptop,2014-01-23,Unknown detailed,2013-10-04,Unknown Date,2013,Theft
867,SSM St. Mary's Health Center,MO,Saint Louis University,1300,Unauthorized Access/Disclosure,E-mail,2014-01-23,Unknown detailed,2013-07-25,Unknown Date,2013,Unauthorized Access/Disclosure
868,Good Samaritan Hospital,CA,None,3833,Theft,Laptop,2014-01-23,Unknown detailed,2013-07-08,Unknown Date,2013,Theft
869,SSM Health Care of Wisconsin DBA: St. Mary's Janesville Hospital,WI,None,631,Theft,Laptop,2014-01-23,Unknown detailed,2013-08-27,Unknown Date,2013,Theft
870,AHMC Healthcare Inc. and affiliated Hospitals,CA,None,729000,Theft,Laptop,2014-01-23,Unknown detailed,2013-10-12,Unknown Date,2013,Theft
871,"Greater Dallas Orthopaedics, PLLC",TX,None,5840,Theft,Desktop Computer,2014-01-23,Unknown detailed,2013-08-30,Unknown Date,2013,Theft
872,"Spirit Home Health Care, Corp",FL,"Spirit Home Health Care, Corp",603,Improper Disposal,Paper,2014-01-23,Unknown detailed,2013-09-19,Unknown Date,2013,Improper Disposal
873,"Reimbursement Technologies, Inc.",PA,None,2300,Unauthorized Access/Disclosure,Network Server,2014-01-23,Unknown detailed,2013-05-01,2013-07-26,2013,Unauthorized Access/Disclosure
874,Valley Mental Health,UT,None,700,Theft,Desktop Computer,2014-01-23,Unknown detailed,2013-02-27,Unknown Date,2013,Theft
875,Delta Dental of Pennsylvania,PA,ZDI,14829,Loss,Paper,2014-01-23,Unknown detailed,2013-03-20,Unknown Date,2013,Loss
876,Raleigh Orthopaedic Clinic,NC,None,17300,"Theft, Improper Disposal, Unauthorized Access/Disclosure",Paper,2014-01-23,Unknown detailed,2013-01-15,Unknown Date,2013,"Theft, Improper Disposal, Unauthorized Access/Disclosure"
877,Laboratory Corporation of America,NC,None,1580,Theft,Desktop Computer,2014-02-12,Unknown detailed,2013-03-15,Unknown Date,2013,Theft
878,"Arizona Counseling & Treatment Services, LLC",AZ,None,3800,Theft,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-03-18,2013-03-25,2013,Theft
879,Wood County Hospital,OH,None,2500,Theft,Other,2014-01-23,Unknown detailed,2013-03-19,Unknown Date,2013,Theft
880,University of Rochester Medical Center & Affiliates,NY,None,537,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-02-15,Unknown Date,2013,Loss
881,Orthopedics & Adult Reconstructive Surgery,TX,AssuranceMD f/k/a Harbor Group,22000,Loss,Other Portable Electronic Device,2014-01-23,Unknown detailed,2013-03-01,2013-03-13,2013,Loss
882,Barnabas Health Medical Group,NJ,None,1100,Theft,Laptop,2014-01-23,Unknown detailed,2013-09-24,Unknown Date,2013,Theft
883,"DaVita, a division of DaVita HealthCare Partners Inc",CO,None,11500,"Theft, Other",Laptop,2014-01-23,Unknown detailed,2013-09-06,Unknown Date,2013,"Theft, Other"
884,Blue Cross and Blue Shield of North Carolina,NC,None,687,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2013-10-14,Unknown Date,2013,Unauthorized Access/Disclosure
885,North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ,NC,None,1315,Unauthorized Access/Disclosure,Other,2014-01-23,Unknown detailed,2013-08-13,Unknown Date,2013,Unauthorized Access/Disclosure
886,Puerto Rico Health Insurance Administration (PRHIA),PR,Triple S Salud Inc.,13336,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2013-09-20,Unknown Date,2013,Unauthorized Access/Disclosure
887,Triple-S Salud ,PR,None,70189,Unauthorized Access/Disclosure,Paper,2014-01-23,Unknown detailed,2013-09-20,Unknown Date,2013,Unauthorized Access/Disclosure
